,age,gender,district,Count
258,2,1,9,1065
259,2,2,9,1020
260,3,1,9,1435
261,3,2,9,1500
262,4,1,9,1320
263,4,2,9,1325
264,5,1,9,1060
265,5,2,9,1130
266,6,1,9,910
267,6,2,9,1115
268,7,1,9,985
269,7,2,9,1145
270,8,1,9,1075
271,8,2,9,1240
272,9,1,9,1195
273,9,2,9,1345
274,10,1,9,1170
275,10,2,9,1380
276,11,1,9,1255
277,11,2,9,1315
278,12,1,9,1030
279,12,2,9,1225
280,13,1,9,660
281,13,2,9,905
282,14,1,9,495
283,14,2,9,735
284,15,1,9,360
285,15,2,9,600
286,16,1,9,310
287,16,2,9,790
288,1,1,10,2745
289,1,2,10,2725
290,2,1,10,1125
291,2,2,10,1010
292,3,1,10,905
293,3,2,10,830
294,4,1,10,750
295,4,2,10,840
296,5,1,10,795
297,5,2,10,905
298,6,1,10,905
299,6,2,10,950
300,7,1,10,985
301,7,2,10,1055
302,8,1,10,1075
303,8,2,10,1145
304,9,1,10,1345
305,9,2,10,1405
306,10,1,10,1365
307,10,2,10,1450
308,11,1,10,1245
309,11,2,10,1320
310,12,1,10,1225
311,12,2,10,1285
312,13,1,10,790
313,13,2,10,855
314,14,1,10,620
315,14,2,10,695
316,15,1,10,405
317,15,2,10,580
318,16,1,10,295
319,16,2,10,545
320,1,1,11,3135
321,1,2,11,3010
322,2,1,11,1100
323,2,2,11,1095
324,3,1,11,940
325,3,2,11,900
326,4,1,11,740
327,4,2,11,825
328,5,1,11,900
329,5,2,11,975
330,6,1,11,995
331,6,2,11,1135
332,7,1,11,1130
333,7,2,11,1210
334,8,1,11,1295
335,8,2,11,1270
336,9,1,11,1475
337,9,2,11,1580
338,10,1,11,1500
339,10,2,11,1590
340,11,1,11,1355
341,11,2,11,1415
342,12,1,11,1250
343,12,2,11,1245
344,13,1,11,855
345,13,2,11,835
346,14,1,11,545
347,14,2,11,520
348,15,1,11,325
349,15,2,11,360
350,16,1,11,205
351,16,2,11,315
352,1,1,12,5010
353,1,2,12,4645
354,2,1,12,2035
355,2,2,12,1960
356,3,1,12,1835
357,3,2,12,1740
358,4,1,12,1450
359,4,2,12,1485
360,5,1,12,1495
361,5,2,12,1570
