,age,gender,district,Count
257,9,1,9,1345
258,10,0,9,1170
259,10,1,9,1380
260,11,0,9,1255
261,11,1,9,1315
262,12,0,9,1030
263,12,1,9,1225
264,13,0,9,660
265,13,1,9,905
266,14,0,9,495
267,14,1,9,735
268,15,0,9,360
269,15,1,9,600
270,1,0,10,2745
271,1,1,10,2725
272,2,0,10,1125
273,2,1,10,1010
274,3,0,10,905
275,3,1,10,830
276,4,0,10,750
277,4,1,10,840
278,5,0,10,795
279,5,1,10,905
280,6,0,10,905
281,6,1,10,950
282,7,0,10,985
283,7,1,10,1055
284,8,0,10,1075
285,8,1,10,1145
286,9,0,10,1345
287,9,1,10,1405
288,10,0,10,1365
289,10,1,10,1450
290,11,0,10,1245
291,11,1,10,1320
292,12,0,10,1225
293,12,1,10,1285
294,13,0,10,790
295,13,1,10,855
296,14,0,10,620
297,14,1,10,695
298,15,0,10,405
299,15,1,10,580
300,1,0,11,3135
301,1,1,11,3010
302,2,0,11,1100
303,2,1,11,1095
304,3,0,11,940
305,3,1,11,900
306,4,0,11,740
307,4,1,11,825
308,5,0,11,900
309,5,1,11,975
310,6,0,11,995
311,6,1,11,1135
312,7,0,11,1130
313,7,1,11,1210
314,8,0,11,1295
315,8,1,11,1270
316,9,0,11,1475
317,9,1,11,1580
318,10,0,11,1500
319,10,1,11,1590
320,11,0,11,1355
321,11,1,11,1415
322,12,0,11,1250
323,12,1,11,1245
324,13,0,11,855
325,13,1,11,835
326,14,0,11,545
327,14,1,11,520
328,15,0,11,325
329,15,1,11,360
330,1,0,12,5010
331,1,1,12,4645
332,2,0,12,2035
333,2,1,12,1960
334,3,0,12,1835
335,3,1,12,1740
336,4,0,12,1450
337,4,1,12,1485
338,5,0,12,1495
339,5,1,12,1570
340,6,0,12,1575
341,6,1,12,1840
342,7,0,12,1880
343,7,1,12,2125
344,8,0,12,2225
345,8,1,12,2375
346,9,0,12,2665
347,9,1,12,3110
348,10,0,12,3145
349,10,1,12,3370
350,11,0,12,3285
351,11,1,12,3360
352,12,0,12,3145
353,12,1,12,3165
354,13,0,12,2145
355,13,1,12,2295
356,14,0,12,1465
357,14,1,12,1635
358,15,0,12,890
359,15,1,12,1195
360,1,0,13,5295
361,1,1,13,5050
362,2,0,13,2040
363,2,1,13,1960
364,3,0,13,1835
365,3,1,13,1740
366,4,0,13,1565
367,4,1,13,1570
368,5,0,13,1620
369,5,1,13,1755
370,6,0,13,1860
371,6,1,13,1960
372,7,0,13,2040
373,7,1,13,2250
374,8,0,13,2235
375,8,1,13,2435
376,9,0,13,2845
377,9,1,13,2980
378,10,0,13,3050
379,10,1,13,3280
380,11,0,13,3015
381,11,1,13,3200
382,12,0,13,2815
383,12,1,13,2970
384,13,0,13,2020
385,13,1,13,2010
386,14,0,13,1290
387,14,1,13,1470
388,15,0,13,775
389,15,1,13,1075
390,1,0,14,5840
391,1,1,14,5780
392,2,0,14,2360
393,2,1,14,2185
394,3,0,14,2030
395,3,1,14,2035
396,4,0,14,1795
397,4,1,14,1935
398,5,0,14,1830
399,5,1,14,2055
400,6,0,14,1905
401,6,1,14,2160
402,7,0,14,2315
403,7,1,14,2530
404,8,0,14,2600
405,8,1,14,2705
406,9,0,14,3220
407,9,1,14,3375
408,10,0,14,3270
409,10,1,14,3545
410,11,0,14,3220
411,11,1,14,3350
412,12,0,14,3000
413,12,1,14,3125
414,13,0,14,2220
415,13,1,14,2315
416,14,0,14,1520
417,14,1,14,1765
418,15,0,14,980
419,15,1,14,1255
420,1,0,15,6750
421,1,1,15,6700
422,2,0,15,2460
423,2,1,15,2420
424,3,0,15,2900
425,3,1,15,2885
426,4,0,15,3130
427,4,1,15,3085
428,5,0,15,2930
429,5,1,15,3170
430,6,0,15,2865
431,6,1,15,3075
432,7,0,15,2745
433,7,1,15,3135
434,8,0,15,2870
435,8,1,15,3310
436,9,0,15,3810
437,9,1,15,4020
438,10,0,15,3675
439,10,1,15,4030
440,11,0,15,3065
441,11,1,15,3500
442,12,0,15,2580
443,12,1,15,2885
444,13,0,15,1705
445,13,1,15,2020
446,14,0,15,1195
447,14,1,15,1550
448,15,0,15,860
449,15,1,15,1195
450,1,0,16,5620
