,District,Age,Sex,Count
260,7,17,1,100
261,7,17,2,220
262,7,18,1,10
263,7,18,2,55
264,7,19,1,0
265,7,19,2,15
266,8,1,1,3145
267,8,1,2,2920
268,8,2,1,1140
269,8,2,2,1090
270,8,3,1,1115
271,8,3,2,995
272,8,4,1,885
273,8,4,2,955
274,8,5,1,985
275,8,5,2,1015
276,8,6,1,1070
277,8,6,2,1095
278,8,7,1,1130
279,8,7,2,1175
280,8,8,1,1210
281,8,8,2,1260
282,8,9,1,1415
283,8,9,2,1495
284,8,10,1,1380
285,8,10,2,1495
286,8,11,1,1355
287,8,11,2,1435
288,8,12,1,1325
289,8,12,2,1355
290,8,13,1,860
291,8,13,2,865
292,8,14,1,515
293,8,14,2,570
294,8,15,1,350
295,8,15,2,390
296,8,16,1,150
297,8,16,2,245
298,8,17,1,65
299,8,17,2,130
300,8,18,1,5
301,8,18,2,30
302,8,19,1,0
303,8,19,2,5
304,9,1,1,2550
305,9,1,2,2460
306,9,2,1,1065
307,9,2,2,1020
308,9,3,1,1435
309,9,3,2,1500
310,9,4,1,1320
311,9,4,2,1325
312,9,5,1,1060
313,9,5,2,1130
314,9,6,1,910
315,9,6,2,1115
316,9,7,1,985
317,9,7,2,1145
318,9,8,1,1075
319,9,8,2,1240
320,9,9,1,1195
321,9,9,2,1345
322,9,10,1,1170
323,9,10,2,1380
324,9,11,1,1255
325,9,11,2,1315
326,9,12,1,1030
327,9,12,2,1225
328,9,13,1,660
329,9,13,2,905
330,9,14,1,495
331,9,14,2,735
332,9,15,1,360
333,9,15,2,600
334,9,16,1,215
335,9,16,2,420
336,9,17,1,80
337,9,17,2,265
338,9,18,1,10
339,9,18,2,95
340,9,19,1,0
341,9,19,2,10
342,10,1,1,2745
343,10,1,2,2725
344,10,2,1,1125
345,10,2,2,1010
346,10,3,1,905
347,10,3,2,830
348,10,4,1,750
349,10,4,2,840
350,10,5,1,795
351,10,5,2,905
352,10,6,1,905
353,10,6,2,950
354,10,7,1,985
355,10,7,2,1055
356,10,8,1,1075
357,10,8,2,1145
358,10,9,1,1345
359,10,9,2,1405
360,10,10,1,1365
361,10,10,2,1450
362,10,11,1,1245
363,10,11,2,1320
364,10,12,1,1225
365,10,12,2,1285
366,10,13,1,790
367,10,13,2,855
368,10,14,1,620
369,10,14,2,695
370,10,15,1,405
371,10,15,2,580
372,10,16,1,195
373,10,16,2,310
374,10,17,1,80
375,10,17,2,165
376,10,18,1,20
377,10,18,2,65
378,10,19,1,0
379,10,19,2,5
380,11,1,1,3135
381,11,1,2,3010
382,11,2,1,1100
383,11,2,2,1095
384,11,3,1,940
385,11,3,2,900
386,11,4,1,740
387,11,4,2,825
388,11,5,1,900
389,11,5,2,975
390,11,6,1,995
391,11,6,2,1135
392,11,7,1,1130
393,11,7,2,1210
394,11,8,1,1295
395,11,8,2,1270
396,11,9,1,1475
397,11,9,2,1580
398,11,10,1,1500
399,11,10,2,1590
400,11,11,1,1355
401,11,11,2,1415
402,11,12,1,1250
403,11,12,2,1245
404,11,13,1,855
405,11,13,2,835
406,11,14,1,545
407,11,14,2,520
408,11,15,1,325
409,11,15,2,360
410,11,16,1,155
411,11,16,2,205
412,11,17,1,40
413,11,17,2,90
414,11,18,1,10
415,11,18,2,15
416,11,19,1,0
417,11,19,2,0
418,12,1,1,5010
419,12,1,2,4645
420,12,2,1,2035
421,12,2,2,1960
422,12,3,1,1835
423,12,3,2,1740
424,12,4,1,1450
425,12,4,2,1485
426,12,5,1,1495
427,12,5,2,1570
428,12,6,1,1575
429,12,6,2,1840
